Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.43843,1.44924,1.44362,-0.00060,-0.00005,-0.002,40,0,0,0,0,SELL
1.43759,1.44839,1.44344,-0.00084,-0.00018,0,20,-0.1,0,0,0,WAIT
1.43857,1.44739,1.44335,-0.00100,-0.00008,0.0015,40,-0.1,0,0,10,WAIT
1.43559,1.44621,1.44332,-0.00119,-0.00004,-0.0005,-20,0,0,0,0,STRONGBUY
1.43856,1.44515,1.44331,-0.00106,-0.00001,0.002,40,0.1,0.0005,10,20,WAIT
1.43782,1.44430,1.44335,-0.00085,0.00005,0.0005,0,-0.1,0.0005,0,10,WAIT
1.4388,1.44310,1.44340,-0.00119,0.00004,0.0005,19.95,-0.1,0,0,30,WAIT
1.43926,1.44201,1.44355,-0.00109,0.00015,0.001,20.05,0.1,0.0005,0,0,WAIT
1.43872,1.44121,1.44358,-0.00080,0.00003,0,0,0,0.0005,0,0,STRONGSELL
1.43888,1.44060,1.44365,-0.00061,0.00007,0.002,0,0.1,0,0,-10,STRONGSELL
1.43933,1.43973,1.44363,-0.00087,-0.00002,-0.0005,60,0,0.0005,0,-20,STRONGSELL
1.4311,1.43899,1.44362,-0.00075,-0.00001,0.00175,-230,0,-0.0005,-10,-30,SELL
1.4292,1.43816,1.44344,-0.00083,-0.00018,-0.00825,0,0,-0.0005,-10,-10,STRONGSELL
1.42904,1.43720,1.44329,-0.00096,-0.00014,-0.0005,30,0,-0.0005,0,0,STRONGSELL
1.42869,1.43649,1.44317,-0.00071,-0.00012,0.0015,40,0,0,0,10,STRONGSELL
1.42188,1.43580,1.44311,-0.00070,-0.00007,0.0005,-40,0,-0.0005,0,-10,STRONGSELL
1.42046,1.43467,1.44293,-0.00112,-0.00018,-0.0045,20,-0.1,0,0,0,STRONGSELL
1.41777,1.43338,1.44273,-0.00129,-0.00020,0.001,0,0,-0.0005,-10,0,STRONGSELL
1.41325,1.43211,1.44247,-0.00127,-0.00026,-0.00425,0,0,0,0,0,STRONGSELL
1.41028,1.43030,1.44211,-0.00181,-0.00036,0,0,0,-0.0005,0,-10,BUY
1.41062,1.42833,1.44171,-0.00197,-0.00040,0,40,0,0,0,10,STRONGSELL
1.40817,1.42632,1.44122,-0.00201,-0.00050,0.00475,0,0,0.00025,0,0,BUY
1.41145,1.42410,1.44053,-0.00222,-0.00069,-0.001,40,0,0.00075,10,0,WAIT
1.40402,1.42215,1.43994,-0.00195,-0.00059,0.0025,-40,-0.1,0,-10,0,STRONGBUY
1.40955,1.41966,1.43900,-0.00249,-0.00094,0,40,0,0.0005,20,20,STRONGBUY
1.41167,1.41753,1.43822,-0.00213,-0.00079,0.004,19.95,0.1,0.0005,0,20,WAIT
